"UNIDADE";"SETOR";"CÓDIGO DA FUNÇÃO";"FUNÇÃO";"NÍVEL";"QUANTIDADE";"SEM_NOME";"SEM_NOME"
"ACE";"SECVIA";"ADMINISTRATIVA";"2";"801308";"CHEFE DE SECAO";"FC-05";"1"
"CR";"10VTRJ";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"10VTRJ";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"10VTRJ";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"10VTRJ";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"10VTRJ";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"10VTRJ";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"11VTRJ";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"11VTRJ";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"11VTRJ";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"11VTRJ";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"11VTRJ";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"11VTRJ";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"12VTRJ";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"12VTRJ";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"12VTRJ";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"12VTRJ";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"12VTRJ";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"12VTRJ";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"13VTRJ";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"13VTRJ";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"13VTRJ";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"13VTRJ";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"13VTRJ";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"13VTRJ";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"14VTRJ";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"14VTRJ";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"14VTRJ";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"14VTRJ";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"14VTRJ";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"14VTRJ";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"15VTRJ";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"15VTRJ";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"15VTRJ";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"15VTRJ";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"15VTRJ";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"15VTRJ";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"16VTRJ";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"16VTRJ";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"16VTRJ";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"16VTRJ";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"16VTRJ";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"16VTRJ";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"17VTRJ";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"17VTRJ";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"17VTRJ";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"17VTRJ";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"17VTRJ";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"17VTRJ";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"18VTRJ";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"18VTRJ";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"18VTRJ";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"18VTRJ";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"18VTRJ";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"18VTRJ";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"19VTRJ";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"19VTRJ";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"19VTRJ";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"19VTRJ";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"19VTRJ";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"19VTRJ";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTANG";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTANG";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTANG";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTANG";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"1"
"CR";"1VTANG";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTANG";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTARA";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTARA";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTARA";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTARA";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"1"
"CR";"1VTARA";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTARA";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTBM";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTBM";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTBM";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"1VTBM";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTBM";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTBM";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTBP";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTBP";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTBP";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTBP";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTBP";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"1VTBP";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTCAM";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTCAM";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTCAM";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTCAM";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"3"
"CR";"1VTCAM";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTCAM";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTCF";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTCF";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTCF";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTCF";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTCF";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTCF";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"2"
"CR";"1VTDC";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTDC";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTDC";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"3"
"CR";"1VTDC";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTDC";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTDC";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTITB";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"3"
"CR";"1VTITB";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTITB";"JUDICIARIA";"1";"801407";"DIRETOR DE SECRETARIA DE VT (JCJ)";"CJ-3";"1"
"CR";"1VTITB";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTITB";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTITB";"JUDICIARIA";"1";"802365";"SECRETARIO DE AUDIENCIAS";"FC-04";"2"
"CR";"1VTITG";"JUDICIARIA";"1";"800232";"SECRETARIO CALCULISTA DE VT";"FC-04";"2"
"CR";"1VTITG";"JUDICIARIA";"1";"800223";"ASSISTENTE SECRETARIO DE JUIZ  (VT)";"FC-05";"2"
"CR";"1VTITG";"JUDICIARIA";"1";"800214";"ASSISTENTE DE DIRETOR DE SECRETARIA  (VT)";"FC-05";"1"
"CR";"1VTITG";"JUDICIARIA";"1";"801458";"ASSISTENTE (VT)";"FC-02";"1"
