codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A652,06/05/2018,23,22.6,22.6,22.4,89,90,89,20.7,20.8,20.6,1016.5,1016.5,1016.2,2.4,286,6.0,-2.72,0.0
A652,06/05/2018,22,22.4,22.4,22.2,90,90,90,20.7,20.7,20.5,1016.2,1016.2,1015.7,3.0,283,7.0,-3.19,0.0
A652,06/05/2018,21,22.3,22.5,22.2,90,90,89,20.6,20.6,20.4,1015.7,1015.7,1015.5,3.7,276,7.5,12.78,0.0
A652,06/05/2018,20,22.5,23.1,22.5,89,89,86,20.5,20.7,20.5,1015.5,1015.6,1015.2,4.1,275,7.5,207.2,0.0
A652,06/05/2018,19,23.1,23.5,23.0,86,86,85,20.7,21.0,20.6,1015.2,1015.2,1015.0,3.1,278,7.3,956.8,0.0
A652,06/05/2018,18,23.2,23.9,23.2,86,86,83,20.8,21.0,20.7,1015.3,1015.3,1015.1,4.3,274,8.2,1686.,0.0
A652,06/05/2018,17,23.6,23.9,23.2,83,86,82,20.6,21.1,20.5,1015.2,1015.6,1015.2,4.2,275,8.3,2276.,0.0
A652,06/05/2018,16,23.2,24.2,23.1,86,86,80,20.7,20.8,20.3,1015.6,1016.0,1015.6,3.8,273,7.0,2305.,0.0
A652,06/05/2018,15,24.0,24.2,23.7,80,84,80,20.3,21.3,20.3,1015.9,1016.7,1015.9,3.2,275,6.6,2696.,0.0
A652,06/05/2018,14,24.0,25.1,23.8,84,85,81,21.0,21.7,20.8,1016.7,1017.0,1016.7,2.6,279,4.8,2496.,0.0
A652,06/05/2018,13,25.1,25.2,23.5,81,87,81,21.7,21.9,21.1,1016.9,1017.3,1016.9,1.0,241,2.9,1858.,0.0
A652,06/05/2018,12,23.6,24.1,22.6,87,91,87,21.3,22.5,21.0,1016.9,1016.9,1016.5,1.1,231,2.9,797.5,0.0
A652,06/05/2018,11,22.5,22.8,21.7,91,92,91,21.0,21.4,20.3,1016.5,1016.5,1015.7,1.1,150,4.0,297.4,0.0
A652,06/05/2018,10,21.8,21.9,21.5,92,92,92,20.5,20.6,20.2,1015.7,1015.7,1015.2,2.1,286,5.4,59.40,0.0
A652,06/05/2018,09,21.7,21.9,21.7,92,92,91,20.3,20.4,20.2,1015.2,1015.2,1014.6,2.7,278,6.1,-0.58,0.0
A652,06/05/2018,08,21.8,22.1,21.6,91,91,90,20.3,20.6,20.0,1014.6,1014.6,1014.1,3.3,274,5.8,-2.74,0.0
A652,06/05/2018,07,21.8,22.0,21.7,91,91,91,20.2,20.4,20.1,1014.1,1014.5,1014.1,2.1,287,6.7,-2.58,0.0
A652,06/05/2018,06,21.7,22.0,21.5,91,91,91,20.2,20.4,19.9,1014.5,1014.7,1014.4,2.9,274,6.7,-3.50,0.0
A652,06/05/2018,05,21.8,22.1,21.7,91,91,91,20.2,20.6,20.1,1014.6,1014.9,1014.6,2.1,289,5.6,-3.52,0.0
A652,06/05/2018,04,22.0,22.1,21.8,91,91,90,20.4,20.4,20.1,1014.9,1014.9,1014.7,2.9,274,5.4,-3.54,0.0
