codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A636,06/05/2018,23,20.1,20.9,20.0,87,87,84,17.8,18.2,17.7,1019.0,1019.0,1018.5,0.2,244,0.8,-3.40,0.0
A636,06/05/2018,22,20.9,22.5,20.9,84,84,77,18.2,18.5,18.2,1018.5,1018.5,1018.1,0.2,243,2.0,-3.54,0.0
A636,06/05/2018,21,22.5,24.3,22.5,77,78,70,18.3,19.0,18.3,1018.1,1018.1,1017.8,0.2,348,3.0,10.91,0.0
A636,06/05/2018,20,24.3,25.6,24.1,70,71,66,18.5,18.8,18.4,1017.8,1017.9,1017.3,0.8,163,5.0,297.0,0.0
A636,06/05/2018,19,25.6,26.3,25.3,66,67,63,18.7,19.0,18.3,1017.3,1017.4,1017.1,1.5,190,6.1,1139.,0.0
A636,06/05/2018,18,26.1,27.0,25.7,63,66,62,18.6,19.4,18.2,1017.2,1017.3,1017.0,2.6,220,7.0,1484.,0.0
A636,06/05/2018,17,26.8,27.5,26.0,65,65,59,19.6,19.6,18.3,1017.1,1017.5,1017.1,2.0,211,5.9,1125.,0.0
A636,06/05/2018,16,27.3,27.5,26.3,60,65,60,19.0,19.9,18.4,1017.5,1018.1,1017.5,1.3,230,5.2,1712.,0.0
A636,06/05/2018,15,27.0,27.5,26.1,63,68,62,19.2,20.0,19.0,1018.1,1018.8,1018.1,1.3,127,5.8,2315.,0.0
A636,06/05/2018,14,26.4,26.9,25.4,65,72,65,19.4,20.7,19.3,1018.8,1019.2,1018.8,1.7,109,3.8,2050.,0.0
A636,06/05/2018,13,26.0,26.3,24.7,69,76,69,19.9,20.8,19.3,1019.1,1019.2,1019.1,0.4,312,2.1,1274.,0.0
A636,06/05/2018,12,24.9,24.9,21.7,75,89,74,20.1,22.1,19.7,1019.2,1019.2,1018.8,0.5,128,1.6,1135.,0.0
A636,06/05/2018,11,21.7,21.7,18.2,89,89,89,19.8,19.8,16.4,1018.8,1018.8,1018.2,0.0,288,1.2,398.1,0.0
A636,06/05/2018,10,18.2,18.2,17.9,89,89,89,16.4,16.4,16.0,1018.2,1018.2,1017.7,0.2,273,1.2,56.35,0.0
A636,06/05/2018,09,18.0,18.3,18.0,89,89,89,16.1,16.4,16.1,1017.7,1017.7,1017.1,0.1,267,1.0,5.250,0.0
A636,06/05/2018,08,18.2,18.5,18.2,89,89,89,16.3,16.6,16.3,1017.1,1017.1,1016.6,0.0,265,0.5,4.764,0.0
A636,06/05/2018,07,18.4,18.8,18.4,89,89,88,16.5,16.8,16.5,1016.6,1016.8,1016.5,0.0,257,0.8,0.975,0.0
A636,06/05/2018,06,18.7,19.0,18.7,88,88,88,16.8,17.0,16.7,1016.8,1017.1,1016.8,0.1,258,0.7,-2.00,0.0
A636,06/05/2018,05,19.0,19.2,19.0,88,88,88,17.0,17.2,16.9,1017.1,1017.3,1017.1,0.0,264,0.7,-0.76,0.0
